[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/5a2fb235-317b-43d8-af63-ae8c715944bf/8.png?format=1000w → 200 (89ms, 10279B)
[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/a5fec87e-ca93-4bc5-ab42-bde7dd43b7b4/4.png?format=1000w → 200 (90ms, 11167B)
[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/75e89f3e-1ae2-4175-afdb-247ddc403dfd/12.png?format=1000w → 200 (89ms, 12260B)
[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/2af3cfc9-c478-4f99-b1dd-d0e1b331653b/13.png?format=1000w → 200 (90ms, 16928B)
[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/26b272d2-4812-401b-8702-a8877827fee8/15.png?format=1000w → 200 (88ms, 6003B)
[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/296b11ce-d2dc-42bf-9127-a2a5a6ce5728/ceresroboticsinc_logo.jpeg?format=500w → 200 (88ms, 4192B)
[2026-07-22T08:56:58.116Z] GET https://www.google.com/recaptcha/enterprise/anchor?ar=1&k=6LdDFQwjAAAAAPigEvvPgEVbb7QBm-TkVJdDTlAv&co=aHR0cHM6Ly93d3cuZWhmLm9yZzo0NDM.&hl=en&v=A7KpaEASfhDcK0nXxgQEyyYv&size=invisible&anchor-ms=20000&execute-ms=30000&cb=munux2q8ij10 → 200 (26ms, 28917B)
[2026-07-22T08:56:58.145Z] GET https://www.gstatic.com/recaptcha/releases/A7KpaEASfhDcK0nXxgQEyyYv/styles__ltr.css → 200 (15ms, 42387B)
[2026-07-22T08:56:58.145Z] GET https://www.gstatic.com/recaptcha/releases/A7KpaEASfhDcK0nXxgQEyyYv/recaptcha__en.js → 200 (16ms, -888B)
[2026-07-22T08:56:58.206Z] GET https://www.google.com/recaptcha/enterprise/webworker.js?hl=en&v=A7KpaEASfhDcK0nXxgQEyyYv → 200 (19ms, ?B)
[2026-07-22T08:56:58.214Z] GET https://www.gstatic.com/recaptcha/api2/logo_48.png → 200 (8ms, 2252B)
[2026-07-22T08:56:58.214Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBA.woff2 → 200 (29ms, 40680B)
[2026-07-22T08:56:58.225Z] GET https://www.gstatic.com/recaptcha/releases/A7KpaEASfhDcK0nXxgQEyyYv/recaptcha__en.js → 200 (53ms, -888B)
[2026-07-22T08:57:00.068Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/97ddd59c-a290-483f-a8a5-bb8d12bef63d/Up+partners+logo.png?format=500w → 200 (87ms, 5227B)
[2026-07-22T08:57:00.302Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/35008756-1686-47ab-a712-a8a3f052dc42/1.png?format=1000w → 200 (86ms, 15308B)
[2026-07-22T08:57:02.301Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/e921f346-115a-41fe-ac79-e0111d9e24c5/10.png?format=1000w → 200 (88ms, 13569B)
[2026-07-22T08:57:04.302Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/8a12b2e6-dd88-40ed-a4a6-a411c3e5d761/EHF+Fellow+Company+Logos+%281%29.png?format=1000w → 200 (87ms, 11954B)
[2026-07-22T08:57:06.468Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/df121f2b-9767-40e0-9009-9797feaf9b71/11.png?format=1000w → 200 (87ms, 8769B)
[2026-07-22T08:57:28.443Z] POST https://performance.squarespace.com/api/v1/records → pending (?ms, ?B)
[2026-07-22T08:57:37.083Z] GET https://www.ehf.org/ → 200 (274ms, 207B)
[2026-07-22T08:57:37.361Z] POST https://performance.squarespace.com/api/v1/records → pending (?ms, ?B)
[2026-07-22T08:57:37.365Z] GET https://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js → 200 (1ms, -641B)
[2026-07-22T08:57:37.366Z] GET https://assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-aa199afcf7c87a38-min.en-US.js → 200 (2ms, -634B)
[2026-07-22T08:57:37.368Z] GET https://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-3d5633214421b6ee-min.en-US.js → 200 (?ms, -631B)
[2026-07-22T08:57:37.368Z] GET https://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-a5cfdec1ae227f33-min.en-US.js → 200 (?ms, -634B)
[2026-07-22T08:57:37.368Z] GET https://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-553be5b17e9a9bde-min.en-US.js → 200 (?ms, -635B)
[2026-07-22T08:57:37.368Z] GET https://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-02f58ecdd59f8b83-min.en-US.js → 200 (?ms, -633B)
[2026-07-22T08:57:37.368Z] GET https://assets.squarespace.com/universal/scripts-compressed/common-vendors-c09d014622f01c24-min.en-US.js → 200 (?ms, -632B)
[2026-07-22T08:57:37.368Z] GET https://assets.squarespace.com/universal/scripts-compressed/common-d3f2f580dc63c247-min.en-US.js → 200 (?ms, -632B)
[2026-07-22T08:57:37.368Z] GET https://assets.squarespace.com/universal/scripts-compressed/performance-c436d3d7ea735f9a-min.en-US.js → 200 (?ms, -631B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/20c9376f-b50d-42a8-b306-6a66df1e3ded_556/website.components.socialLinks.styles.css → 200 (3ms, -752B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/802b1fc6-3ad1-45bd-86fc-4095b08fa0f5_1101/website.components.spacer.styles.css → 200 (3ms, -696B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/website.components.imageFluid.styles.css → 200 (3ms, -743B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/69c9ad54-fc30-43cd-8a9f-c2c8ba7c09af_778/website.components.html.styles.css → 200 (3ms, -696B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/917b0131-f4bb-4a5e-b76e-f982d9190bcf_948/website.components.button.styles.css → 200 (4ms, -743B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/2513.js → 200 (?ms, -760B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/9882.js → 200 (?ms, -759B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-liquid.js → 200 (?ms, -758B)
[2026-07-22T08:57:37.368Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/8458.js → 200 (?ms, -759B)
[2026-07-22T08:57:37.369Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-refracted-lines.js → 200 (?ms, -759B)
[2026-07-22T08:57:37.369Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/917b0131-f4bb-4a5e-b76e-f982d9190bcf_948/website.components.button.visitor.js → 200 (?ms, -759B)
[2026-07-22T08:57:37.369Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/69c9ad54-fc30-43cd-8a9f-c2c8ba7c09af_778/website.components.html.visitor.js → 200 (?ms, -759B)
[2026-07-22T08:57:37.369Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/20c9376f-b50d-42a8-b306-6a66df1e3ded_556/website.components.socialLinks.visitor.js → 200 (?ms, -766B)
[2026-07-22T08:57:37.370Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-refracted-circles.js → 200 (?ms, -758B)
[2026-07-22T08:57:37.370Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/website.components.imageFluid.shared.constants.js → 200 (?ms, -710B)
[2026-07-22T08:57:37.370Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-parallax.js → 200 (?ms, -758B)
